WBIC,Lake Name,County,Area (acres),Area (ha),Max Depth (ft),Max Depth (m),Latitude,Longitude,Final Lake Class,Temp Transitional,Clarity Transitional,If not then (for 2-story and stocked trout lakes)
176000,Amey Pond,Adams,56,22.7,7,2.1,43.6471792,-89.6157144,Simple - Warm - Dark,n/a,n/a,n/a
1374300,Arkdale Lake (Millpond),Adams,55,22.3,6,1.8,44.0306221,-89.88152,Simple - Riverine,n/a,n/a,n/a
1377700,Arrowhead Lake (Manchester),Adams,350,141.6,30,9.1,44.2096963,-89.841425,Complex - Warm - Dark,no,no,n/a
1374800,Big Roche A Cri Lake,Adams,205,83.0,20,6.1,44.0581751,-89.8155436,Complex - Riverine,n/a,n/a,n/a
176600,Big Spring Pond,Adams,7,2.8,5,1.5,43.6702367,-89.6436943,Simple - Trout Pond,n/a,n/a,n/a
1378100,Camelot Lake,Adams,445,180.1,24,7.3,44.226917,-89.7648161,Complex - Warm - Dark,no,no,n/a
1345700,Castle Rock Lake*,Adams,13955,5647.4,36,11.0,43.9555583,-90.0378786,Complex - Warm - Dark,no,no,n/a
102600,Crooked Lake,Adams,48,19.4,56,17.1,43.7683539,-89.6069813,Simple - Warm - Clear,no,no,n/a
102800,Deep Lake,Adams,35,14.2,47,14.3,43.781208,-89.64544,Simple - Warm - Clear,n/a,n/a,n/a
1343600,Easton Lake,Adams,24,9.7,10,3.0,43.8408799,-89.7962088,Simple - Riverine,n/a,n/a,n/a
1352000,Friendship Lake (Millpond),Adams,115,46.5,16,4.9,43.9819927,-89.7992276,Complex - Riverine,n/a,n/a,n/a
103600,Goose Lake,Adams,81,32.8,18,5.5,43.79776,-89.636665,Simple - Warm - Dark,no,no,n/a
104000,Jordan Lake (Long),Adams,213,86.2,79,24.1,43.74315,-89.64718,Complex - Two Story,yes,yes,Complex - Cool - Dark
175700,Mason Lake*,Adams,855,346.0,9,2.7,43.6577952,-89.6079457,Complex - Warm - Dark,no,no,n/a
178500,McDougall Lake,Adams,9,3.6,8,2.4,43.7889776,-89.6313063,Simple - Warm - Dark,n/a,n/a,n/a
179100,McGinnis Lake,Adams,33,13.4,28,8.5,43.8423602,-89.6457456,Simple - Warm - Dark,no,no,n/a
106500,Parker Lake,Adams,59,23.9,30,9.1,43.7753424,-89.6350137,Simple - Warm - Clear,n/a,n/a,n/a
106600,Patrick Lake,Adams,50,20.2,10,3.0,43.8861801,-89.6588433,Simple - Warm - Dark,no,no,n/a
178700,Peppermill Lake (Beaver Pond),Adams,100,40.5,9,2.7,43.7882077,-89.6482751,Simple - Warm - Dark,no,no,n/a
107000,Rollers Lake,Adams,27,10.9,5,1.5,43.8869063,-89.6072749,Simple - Harsh - No Fishery,n/a,n/a,n/a
1377900,Sherwood Lake (Deer Lodge),Adams,246,99.6,27,8.2,44.2030616,-89.7914099,Complex - Warm - Dark,no,no,n/a
1017300,Silver Lake,Adams,7,2.8,11,3.4,43.8914025,-89.9058704,Simple - Harsh - No Fishery,n/a,n/a,n/a
117500,Wolf Lake,Adams,49,19.8,47,14.3,43.79552,-89.622345,Simple - Warm - Clear,n/a,n/a,n/a
2754000,Alex Pond,Ashland,9,3.6,,,46.5952947,-90.6849583,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2410400,Augustine Lake,Ashland,166,67.2,10,3.0,46.1793185,-90.4607998,Simple - Cool - Clear,no,yes,n/a
2892100,Bad River Slough,Ashland,204,82.6,24,7.3,46.630295,-90.6480501,Complex - Riverine,n/a,n/a,n/a
2755100,Bass Lake,Ashland,28,11.3,12,3.7,46.3622257,-90.7865532,Simple - Cool - Clear,no,no,n/a
2405100,Bay Spring,Ashland,2,0.8,5,1.5,46.0664742,-90.664278,Simple - Trout Pond,n/a,n/a,n/a
2403200,Bear Lake,Ashland,204,82.6,9,2.7,45.9901265,-90.8051768,Complex - Riverine,n/a,n/a,n/a
2935400,Beaver Lake T44N R02W S16,Ashland,25,10.1,8,2.4,46.2842655,-90.6239516,Simple - Warm - Dark,n/a,n/a,n/a
2916200,Beaver Lake T44N R04W S07,Ashland,35,14.2,10,3.0,46.3007719,-90.9014586,Simple - Trout Pond,n/a,n/a,n/a
2916700,Beaverdam Lake,Ashland,118,47.8,19,5.8,46.3193079,-90.8142002,Simple - Cool - Clear,no,no,n/a
2751600,Big Bay Lagoon - Madeline Is,Ashland,105,42.5,10,3.0,46.809062,-90.6805614,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2401300,Black Lake (Birch)*,Ashland,129,52.2,17,5.2,45.988478,-90.9328439,Complex - Cool - Clear,yes,no,n/a
1835800,Blueberry Lake,Ashland,2,0.8,7,2.1,46.0177073,-90.379801,Simple - Harsh - No Fishery,n/a,n/a,n/a
2752000,Bog Lake - Madeline Is,Ashland,36,14.6,5,1.5,46.8516904,-90.587525,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2407900,Bullhead Lake,Ashland,14,5.7,13,4.0,46.0505529,-90.5799387,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2283300,Butternut Lake*,Ashland,1006,407.1,32,9.8,45.9678407,-90.5186458,Complex - Cool - Dark,no,no,n/a
1838600,Cammerer Lake,Ashland,19,7.7,27,8.2,46.1679474,-90.4438021,Simple - Trout Pond,n/a,n/a,n/a
1838700,Camp Four Lake,Ashland,10,4.0,19,5.8,46.0530979,-90.6072003,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2932700,Conley Lake,Ashland,6,2.4,25,7.6,46.2725502,-90.7047097,Simple - Warm - Dark,n/a,n/a,n/a
2430100,Cranberry Lake,Ashland,8,3.2,15,4.6,46.162952,-90.8824419,Simple - Warm - Dark,n/a,n/a,n/a
1842600,Cub Lake,Ashland,31,12.5,21,6.4,45.984318,-90.8178634,Simple - Warm - Dark,n/a,n/a,n/a
1842900,Cycle Lake,Ashland,37,15.0,23,7.0,46.0866607,-90.431887,Simple - Cool - Clear,no,no,n/a
2430300,Day Lake Flowage,Ashland,625,252.9,20,6.1,46.1874082,-90.9063791,Simple - Cool - Clear,no,no,n/a
2428700,Dead Horse Slough,Ashland,87,35.2,7,2.1,46.1577704,-90.8602536,Simple - Harsh - No Fishery,n/a,n/a,n/a
2407100,Ditmans Lake,Ashland,3,1.2,17,5.2,46.2190871,-90.5397435,Simple - Harsh - No Fishery,n/a,n/a,n/a
2760600,Dollar Lake,Ashland,13,5.3,17,5.2,46.2770292,-90.6052325,Simple - Warm - Dark,n/a,n/a,n/a
2936800,Dry Lake,Ashland,18,7.3,7,2.1,46.2224077,-90.5744998,Simple - Cool - Clear,no,no,n/a
2431000,Duck Lake*T43N R05W S13,Ashland,28,11.3,31,9.4,46.2009253,-90.9266822,Simple - Warm - Dark,n/a,n/a,n/a
2914800,English Lake,Ashland,244,98.7,40,12.2,46.3128645,-90.7682247,Complex - Cool - Clear,no,no,n/a
2935600,Eureka Lake,Ashland,39,15.8,28,8.5,46.2889393,-90.5792195,Simple - Cool - Clear,no,no,n/a
2935500,Galilee Lake,Ashland,213,86.2,23,7.0,46.2842857,-90.5931821,Complex - Cool - Clear,no,no,n/a
1850200,Gates Lake,Ashland,22,8.9,17,5.2,46.0993489,-90.691471,Simple - Cool - Clear,no,yes,n/a
2917900,Gilbert Lake,Ashland,4,1.6,13,4.0,46.299218,-90.8581126,Simple - Harsh - No Fishery,n/a,n/a,n/a
2406500,Gordon Lake,Ashland,142,57.5,28,8.5,46.1662845,-90.6175942,Complex - Cool - Clear,no,no,n/a
2291800,Hoffman Lake,Ashland,89,36.0,6,1.8,45.9970877,-90.3287948,Simple - Harsh - No Fishery,n/a,n/a,n/a
2892400,Honest John Lake,Ashland,93,37.6,8,2.4,46.6204936,-90.6287033,Simple - Harsh - Has Fishery,n/a,n/a,n/a
2917300,John Frank Lake,Ashland,5,2.0,11,3.4,46.3100519,-90.801241,Simple - Warm - Dark,n/a,n/a,n/a
2891700,Kakagon Slough,Ashland,766,310.0,26,7.9,46.6614806,-90.7456083,Complex - Riverine,n/a,n/a,n/a
2407400,Kempf Springs,Ashland,3,1.2,9,2.7,46.0664717,-90.6067962,Simple - Trout Pond,n/a,n/a,n/a
2405700,Kenyon Springs,Ashland,7,2.8,2,0.6,46.0772488,-90.6626858,Simple - Trout Pond,n/a,n/a,n/a
2936400,Knab Lake,Ashland,9,3.6,7,2.1,46.2019687,-90.5954981,Simple - Cool - Clear,no,no,n/a
2285700,Lindbergh Lake,Ashland,4,1.6,1,0.3,46.0564263,-90.4218083,Simple - Harsh - No Fishery,n/a,n/a,n/a
2285900,Little Butternut Lake,Ashland,10,4.0,11,3.4,46.0666341,-90.4327075,Simple - Warm - Dark,n/a,n/a,n/a
