"Species","LakeClass","Age","Median Total Length (mm)","Lower Quartile Total Length (mm)","Upper Quartile Total Length (mm)"
"Black Crappie","Complex Cool Clear",1,97.0940323684936,92.084466593109,101.474225610243
"Black Crappie","Complex Cool Clear",2,145.771134624075,134.443601120914,157.454386814415
"Black Crappie","Complex Cool Clear",3,185.615673425368,169.889395801851,202.302051412506
"Black Crappie","Complex Cool Clear",4,218.230336146088,199.550161409289,238.23108370963
"Black Crappie","Complex Cool Clear",5,244.926999136494,224.370059632434,267.015087812771
"Black Crappie","Complex Cool Clear",6,266.779496000444,245.139157637537,290.074959989623
"Black Crappie","Complex Cool Clear",7,284.666810956646,262.518577491216,308.549029924692
"Black Crappie","Complex Cool Clear",8,299.30843467289,277.061541002496,323.349253332193
"Black Crappie","Complex Cool Clear",9,311.293304709168,289.230979883142,335.206229823124
"Black Crappie","Complex Cool Clear",10,321.103494656008,299.414271793001,344.705268292723
"Black Crappie","Complex Cool Clear",11,329.133604828395,307.935571348259,352.315280163449
"Black Crappie","Complex Cool Clear",12,335.706634477169,315.066128613355,358.411926772255
"Black Crappie","Complex Cool Clear",13,341.086973953984,321.032923534846,363.296163551916
"Black Crappie","Complex Cool Clear",14,345.491039420381,326.025891168583,367.209096423135
"Black Crappie","Complex Cool Clear",15,349.095977866345,330.203967693678,370.343883769732
"Black Crappie","Complex Cool Dark",1,101.674296965867,98.1739146027496,104.622299030606
"Black Crappie","Complex Cool Dark",2,145.810702097913,137.58332472127,153.707133667877
"Black Crappie","Complex Cool Dark",3,182.538274665651,170.918967733376,193.947325832112
"Black Crappie","Complex Cool Dark",4,213.100677350754,199.116930902286,226.936599960889
"Black Crappie","Complex Cool Dark",5,238.532808923394,222.969031987797,253.981505787925
"Black Crappie","Complex Cool Dark",6,259.695847804605,243.145054021214,276.153164622795
"Black Crappie","Complex Cool Dark",7,277.306413140367,260.211553263086,294.329691419885
"Black Crappie","Complex Cool Dark",8,291.960830834627,274.647768483827,309.230972774877
"Black Crappie","Complex Cool Dark",9,304.155326233462,286.859078310522,321.44717824138
"Black Crappie","Complex Cool Dark",10,314.30282722154,297.188384531262,331.462134166619
"Black Crappie","Complex Cool Dark",11,322.746946714413,305.925741007843,339.67248577371
"Black Crappie","Complex Cool Dark",12,329.773618019366,313.316498583175,346.403406410335
"Black Crappie","Complex Cool Dark",13,335.620777059397,319.568194697868,351.921476133123
"Black Crappie","Complex Cool Dark",14,340.486419318102,324.856381181066,356.445239687825
"Black Crappie","Complex Cool Dark",15,344.535304328348,329.329553863812,360.15386203711
"Black Crappie","Complex Riverine",1,97.1015966294601,96.0096064451875,97.9839360685357
"Black Crappie","Complex Riverine",2,147.789087733087,142.626090833805,153.001393457563
"Black Crappie","Complex Riverine",3,187.823117369986,180.010460018571,195.766286926231
"Black Crappie","Complex Riverine",4,219.442822628064,209.991079056502,229.007301690961
"Black Crappie","Complex Riverine",5,244.416720326492,234.034216268615,254.845436033527
"Black Crappie","Complex Riverine",6,264.141621654981,253.315754327222,274.92933512715
"Black Crappie","Complex Riverine",7,279.720757003291,268.778699392403,290.540485586197
"Black Crappie","Complex Riverine",8,292.025480568646,281.179300908841,302.674982852834
"Black Crappie","Complex Riverine",9,301.744005931879,291.124037653443,312.107088724871
"Black Crappie","Complex Riverine",10,309.419898424234,299.099278918018,319.438634418644
"Black Crappie","Complex Riverine",11,315.482477195402,305.495071472577,325.137421411614
"Black Crappie","Complex Riverine",12,320.27082739614,310.624215663193,329.567070294363
"Black Crappie","Complex Riverine",13,324.052765497126,314.737563603063,333.010222187677
"Black Crappie","Complex Riverine",14,327.039818490344,318.036287648564,335.686573129758
"Black Crappie","Complex Riverine",15,329.399054772388,320.681719177197,337.766892147657
"Black Crappie","Complex Two Story",1,81.7368406568547,83.8959715701052,76.4848602792084
"Black Crappie","Complex Two Story",2,152.414170251549,128.835121160175,183.172932235005
"Black Crappie","Complex Two Story",3,202.595892768511,164.533934674796,250.904720625376
"Black Crappie","Complex Two Story",4,238.225496903392,192.892399353737,293.904796214508
"Black Crappie","Complex Two Story",5,263.522928460851,215.41982925326,321.203743202507
"Black Crappie","Complex Two Story",6,281.484397832829,233.315195015242,338.534701263471
"Black Crappie","Complex Two Story",7,294.237249096316,247.530936321884,349.537400651215
"Black Crappie","Complex Two Story",8,303.291921182461,258.823653307122,356.522553658407
"Black Crappie","Complex Two Story",9,309.720843224574,267.794374858525,360.957134738413
