"","wbic","Name","pe","Model","year","age0.cpe","COUNTY","LAKE","AREA","WDNRTYPE","CODE","CRNTCODE","annual.fishing.effort"
"1",181400,"ARBUTUS",123,2,1999,NA,NA,NA,NA,NA,NA,NA,NA
"2",184200,"CRYSTAL",287,1,2014,7.7777778,"FOREST","CRYSTAL L",63,NA,NA,"NR",NA
"3",198100,"SAWYER",907,1,2003,0.1923077,"LANGLADE","SAWYER L",149,NA,"NR-2","ST",NA
"4",198100,"SAWYER",515,1,2008,0.3846154,"LANGLADE","SAWYER L",149,NA,"NR","ST",NA
"5",198100,"Sawyer",383,1,2010,0,"LANGLADE","SAWYER L",149,NA,"NR","ST",NA
"6",198100,"SAWYER L",213,1,2014,NA,NA,NA,NA,NA,NA,NA,NA
"7",376900,"LILY",2002,1,1988,NA,NA,NA,NA,NA,NA,NA,NA
"8",376900,"LILY",1229,1,1993,1.1764706,"FOREST","LILY L",213,NA,"NR","NR",NA
"9",376900,"LILY",1214,1,2002,8.0392157,"FOREST","LILY L",213,NA,"NR","NR",NA
"10",376900,"LILY",1718,1,2006,7.254902,"FOREST","LILY L",213,NA,"NR","NR",NA
"11",376900,"LILY",2201,1,2009,1.1764706,"FOREST","LILY L",213,NA,"NR","NR",NA
"12",376900,"Lily",1548,1,2012,36.8627451,"FOREST","LILY L",213,NA,"NR","NR",NA
"13",376900,"LILY L",1300,1,2014,67.8431373,"FOREST","LILY L",213,NA,"NR","NR",NA
"14",376900,"LILY",1111,1,2017,0.7843137,"FOREST","LILY L",213,NA,"NR","NR",6605.68917748918
"15",376900,"LILY",1264,1,2022,NA,NA,NA,NA,NA,NA,NA,NA
"16",377900,"JUNGLE",1598,1,1999,53.6363636,"FOREST","JUNGLE L",177,NA,"C-NR","C-NR",NA
"17",377900,"JUNGLE",2811,1,2002,34.5454545,"FOREST","JUNGLE L",177,NA,"C-NR","C-NR",NA
"18",377900,"JUNGLE",2475,1,2004,41.8181818,"FOREST","JUNGLE L",177,NA,"NR","C-NR",NA
"19",377900,"JUNGLE",1903,1,2007,0.4545455,"FOREST","JUNGLE L",177,NA,"NR","C-NR",NA
"20",377900,"Jungle L",1159,1,2010,0,"FOREST","JUNGLE L",177,NA,"NR","C-NR",NA
"21",377900,"Jungle",692,1,2012,2.2727273,"FOREST","JUNGLE L",177,NA,"NR","C-NR",NA
"22",377900,"Jungle L",622,1,2013,0,"FOREST","JUNGLE L",177,NA,"NR","C-NR",NA
"23",377900,"JUNGLE L",560,1,2014,17.7272727,"FOREST","JUNGLE L",177,NA,"C-NR","C-NR",NA
"24",377900,"JUNGLE L",447,1,2016,0.9090909,"FOREST","JUNGLE L",177,NA,"C-NR","C-NR",NA
"25",377900,"Jungle L",517,1,2018,14.5454545,"FOREST","JUNGLE L",177,NA,"C-NR","C-NR",NA
"26",377900,"Jungle L",480,1,2020,0,"FOREST","JUNGLE",177,NA,"C-NR","C-NR",NA
"27",377900,"JUNGLE",443,3,2022,NA,NA,NA,NA,NA,NA,NA,NA
"28",378400,"ROBERTS",1808,1,1987,NA,NA,NA,NA,NA,NA,NA,NA
"29",378400,"ROBERTS",2466,1,1993,34,"FOREST","ROBERTS L",414,NA,"NR","C-ST",NA
