agency,lakeName,county
WDNR,Balsam Lake,Polk
WDNR,Big Arbor Vitae Lake,Vilas
WDNR,Bony Lake,Bayfield
WDNR,Diamond Lake,Bayfield
WDNR,Grindstone Lake,Sawyer
WDNR,Lake Metonga,Forest
WDNR,Lipsett Lake,Burnett
WDNR,Middle Eau Claire Lake,Bayfield
WDNR,Pine Lake,Iron
WDNR,Plum Lake,Vilas
WDNR,Snipe Lake,Vilas
WDNR,Trout Lake,Vilas
WDNR,Two Sisters Lake,Oneida
GLIFWC,Annabelle,Vilas
GLIFWC,Bass-Patterson,Washburn
GLIFWC,Bearskin,Oneida
GLIFWC,Butternut,Forest
GLIFWC,Escanaba,Vilas
GLIFWC,Kentuck,Vilas
GLIFWC,Sherman,Vilas
GLIFWC,Siskiwit,Bayfield
GLIFWC,Squaw,Vilas
GLIFWC,Squirrel,Oneida
