species,state,year,lake.id,level,linf,k,t0,minage,maxage
bluegill,in,2018,{C2CDBE63-E36F-4CE7-859F-90BA10E06CAE},lakeyear,20.39904565,0.304553034,-0.229023627,1,5
bluegill,in,2016,{381B3553-95F5-4E84-9B07-FF29D5485AC7},lakeyear,45.85995108,0.076598646,-0.956011194,2,6
bluegill,in,2016,{E8920DAA-D79A-41E2-8BCE-2B1D890DF703},lakeyear,53.76912378,0.094251935,0.114290235,1,7
bluegill,in,2016,{308B61DE-4327-42F6-A8BE-756095FBB6DC},lakeyear,34.54064798,0.140526909,-0.161849946,1,6
bluegill,in,2019,{BF0D951E-0226-4495-8598-8C0F933C06FD},lakeyear,426.6404555,0.005420416,-2.876159398,1,5
bluegill,in,2018,{52F39589-1F21-4823-BB4E-80F276AE04A1},lakeyear,45.51945008,0.080958432,-1.431149885,1,5
bluegill,in,2017,{E11841F2-4D06-437F-9EAF-3018BA35C35E},lakeyear,40.36730282,0.107934048,-1.353834527,1,7
bluegill,in,2018,{317DA925-63BD-4BD2-99B7-6CFA554B6D51},lakeyear,37.99668186,0.086406804,-1.125391948,1,8
bluegill,in,2007,577,lakeyear,28.63812342,0.27072231,-0.085192135,1,7
bluegill,in,2007,593,lakeyear,23.10197062,0.246625648,0.082222168,1,8
bluegill,in,2002,613,lakeyear,75.36805803,0.063630875,0.157470109,1,6
bluegill,in,2002,615,lakeyear,39.61414256,0.104569666,-0.295840201,1,6
bluegill,in,2001,606,lakeyear,38.46251461,0.180904669,0.113680981,1,7
bluegill,in,2006,572,lakeyear,30.0856147,0.215342417,-0.05959801,1,7
bluegill,in,2003,604,lakeyear,47.32560821,0.106934968,0.086204003,1,8
bluegill,in,2005,566,lakeyear,23.14964322,0.422834045,0.41728933,1,6
bluegill,in,2004,620,lakeyear,24.03544232,0.313078927,0.471631846,1,7
bluegill,in,1996,418,lakeyear,32.363411,0.220621342,-0.072469623,1,6
bluegill,in,2001,430,lakeyear,91.97418444,0.043918008,-0.329113098,1,6
bluegill,in,1998,454,lakeyear,24.99898006,0.349207196,0.081939713,1,5
bluegill,in,2001,507,lakeyear,21.11471677,0.378309182,0.12380387,1,6
bluegill,in,2003,390,lakeyear,49.64022695,0.090304562,-0.287910267,1,7
bluegill,in,1997,382,lakeyear,31.58462734,0.181605482,0.064513782,1,6
bluegill,in,2005,384,lakeyear,25.04177287,0.189748752,-0.277508816,1,6
bluegill,in,2006,400,lakeyear,26.90181171,0.155529223,-0.898657928,1,6
bluegill,in,1998,519,lakeyear,22.39366688,0.502218242,0.181479064,1,6
bluegill,in,2006,381,lakeyear,27.31087396,0.250731833,0.098387903,1,6
bluegill,in,2006,399,lakeyear,24.52363667,0.267937924,-0.156197769,1,6
