"","WBIC","day","year","nAnglers","fishN","harvestedN"
"1","2742500",0,0,0,1531,0
"2","2897100",0,0,0,2734,0
"3","2742100",0,0,0,7230,0
"4","2678100",0,0,0,3149,0
"5","394400",0,0,0,17290,0
"6","2949200",0,0,0,2502,0
"7","1588200",0,0,0,5763,0
"8","2620600",0,0,0,16464,0
"9","2391200",0,0,0,24938,0
"10","1545600",0,0,0,8738,0
"11","1592400",0,0,0,8881,0
"12","1018500",0,0,0,1916,0
"13","2331600",0,0,0,30588,0
"14","2742500",1,1,1,1530.03296422718,1
"15","2897100",1,1,2,2729.56724299424,4
"16","2742100",1,1,0,7230.25253699837,0
"17","2678100",1,1,1,3147.10729533467,2
"18","394400",1,1,40,16897.6941353,392
"19","2949200",1,1,2,2497.89891899544,4
"20","1588200",1,1,1,5758.3380274147,5
"21","2620600",1,1,15,16314.2410451554,150
"22","2391200",1,1,15,24734.8562712721,203
"23","1545600",1,1,3,8719.5629605566,18
"24","1592400",1,1,3,8863.36818163697,18
"25","1018500",1,1,2,1913.73373832423,2
"26","2331600",1,1,15,30361.4082486775,227
"27","2742500",2,1,0,1530.03296422718,1
"28","2897100",2,1,0,2729.56724299424,4
"29","2742100",2,1,1,7224.25253699837,6
"30","2678100",2,1,4,3139.10729533467,10
"31","394400",2,1,36,16573.6941353,716
"32","2949200",2,1,2,2493.89891899544,8
"33","1588200",2,1,3,5743.3380274147,20
"34","2620600",2,1,15,16171.2410451554,293
"35","2391200",2,1,15,24539.8562712721,398
"36","1545600",2,1,3,8701.5629605566,36
"37","1592400",2,1,1,8857.36818163697,24
"38","1018500",2,1,0,1913.73373832423,2
"39","2331600",2,1,20,30075.4082486775,513
"40","2742500",3,1,1,1529.03296422718,2
"41","2897100",3,1,0,2729.56724299424,4
"42","2742100",3,1,1,7218.25253699837,12
"43","2678100",3,1,2,3135.10729533467,14
"44","394400",3,1,31,16324.6941353,965
"45","2949200",3,1,4,2485.89891899544,16
"46","1588200",3,1,2,5733.3380274147,30
"47","2620600",3,1,14,16045.2410451554,419
"48","2391200",3,1,15,24355.8562712721,582
"49","1545600",3,1,3,8683.5629605566,54
"50","1592400",3,1,4,8833.36818163697,48
"51","1018500",3,1,2,1911.73373832423,4
"52","2331600",3,1,21,29792.4082486775,796
"53","2742500",4,1,1,1528.03296422718,3
"54","2897100",4,1,2,2725.56724299424,8
"55","2742100",4,1,1,7212.25253699837,18
"56","2678100",4,1,1,3133.10729533467,16
"57","394400",4,1,38,16023.6941353,1266
"58","2949200",4,1,2,2481.89891899544,20
"59","1588200",4,1,4,5713.3380274147,50
"60","2620600",4,1,14,15919.2410451554,545
"61","2391200",4,1,14,24187.8562712721,750
"62","1545600",4,1,3,8665.5629605566,72
"63","1592400",4,1,2,8821.36818163697,60
"64","1018500",4,1,1,1910.73373832423,5
"65","2331600",4,1,17,29571.4082486775,1017
"66","2742500",5,1,1,1527.03296422718,4
"67","2897100",5,1,0,2725.56724299424,8
"68","2742100",5,1,0,7212.25253699837,18
"69","2678100",5,1,1,3131.10729533467,18
"70","394400",5,1,36,15771.6941353,1518
"71","2949200",5,1,3,2475.89891899544,26
"72","1588200",5,1,4,5693.3380274147,70
"73","2620600",5,1,16,15783.2410451554,681
"74","2391200",5,1,17,23991.8562712721,946
"75","1545600",5,1,1,8659.5629605566,78
"76","1592400",5,1,2,8809.36818163697,72
"77","1018500",5,1,0,1910.73373832423,5
"78","2331600",5,1,19,29339.4082486775,1249
"79","2742500",6,1,0,1527.03296422718,4
"80","2897100",6,1,1,2723.56724299424,10
"81","2742100",6,1,3,7194.25253699837,36
"82","2678100",6,1,1,3129.10729533467,20
"83","394400",6,1,37,15512.6941353,1777
"84","2949200",6,1,4,2467.89891899544,34
"85","1588200",6,1,2,5683.3380274147,80
"86","2620600",6,1,15,15663.2410451554,801
"87","2391200",6,1,12,23859.8562712721,1078
"88","1545600",6,1,1,8653.5629605566,84
"89","1592400",6,1,4,8785.36818163697,96
"90","1018500",6,1,1,1909.73373832423,6
