"","wbic","year","annual.effort","annual.sd","nSamples","nYears"
"1","394400",1989,41431.1190129315,1720.12239797963,458,10
"2","394400",1992,48032.7063561439,1910.95272028929,342,10
"3","394400",2001,45663.5579004329,1927.81352993752,360,10
"4","394400",2004,34958.5702838828,1453.9264872878,368,10
"5","394400",2007,42748.6026244589,1697.08508371509,355,10
"6","394400",2010,69496.1185897436,2764.53981450726,622,10
"7","394400",2013,29867.5068181818,1122.17983138318,354,10
"8","394400",2016,41924.4414224664,1610.04830709287,360,10
"9","394400",2019,43439.9812964813,1710.21887730526,358,10
"10","394400",2022,29326.1346764347,1192.24989530804,348,10
"11","1018500",1995,5281.21516330891,405.981903949502,347,9
"12","1018500",2000,3068.54335664336,291.113807605139,356,9
"13","1018500",2003,3006.5025974026,240.934359682885,356,9
"14","1018500",2006,3094.52259615385,264.043835889038,358,9
"15","1018500",2009,3491.08005050505,322.087294532596,358,9
"16","1018500",2012,3803.88578643579,300.137257069544,358,9
"17","1018500",2015,3607.99733599734,330.443753358518,362,9
"18","1018500",2018,6270.19853757354,430.843141807596,352,9
"19","1018500",2021,4020.20867673993,305.671655623601,362,9
"20","1545600",1993,73714.0115842491,2423.52533535923,348,9
"21","1545600",1998,72186.6378441003,2147.16185919491,364,9
"22","1545600",2005,72928.1821886447,2575.40509739145,361,9
"23","1545600",2008,57701.4337953713,1846.0525264977,354,9
"24","1545600",2011,59130.386965812,2019.72898192021,360,9
"25","1545600",2014,44116.3838383838,1556.76585513529,354,9
"26","1545600",2017,46281.7379176379,1599.55520818119,468,9
"27","1545600",2020,46449.6751373626,1790.12058135975,332,9
"28","1545600",2023,37933.6397907648,1500.03839701301,284,9
"29","1588200",1988,13119.5746031746,1081.48727366238,246,11
"30","1588200",1992,19327.6058316683,925.315572315658,404,11
"31","1588200",1998,14234.251984127,929.988013799359,325,11
"32","1588200",2002,15224.8553932179,827.481821473409,353,11
"33","1588200",2005,13525.4895604396,732.677301772822,356,11
"34","1588200",2008,8874.77913752914,462.739868695809,354,11
"35","1588200",2011,10274.1954365079,552.022721068437,360,11
"36","1588200",2014,8343.32658730159,497.240330409716,354,11
"37","1588200",2017,8253.27788461539,434.411283274786,352,11
"38","1588200",2020,12565.2503052503,599.672690657544,334,11
"39","1588200",2023,7355.19678932179,453.314160453995,270,11
"40","1592400",1995,56574.4561979687,1909.41518050217,397,8
"41","1592400",2003,24453.979978355,915.069042461424,358,8
"42","1592400",2006,26975.6377164502,1431.32404762974,354,8
"43","1592400",2009,26160.939203158,1572.01974626083,356,8
"44","1592400",2012,29668.4621212121,1145.26303949873,358,8
"45","1592400",2015,22050.3598484848,1001.22884800552,362,8
"46","1592400",2018,18994.2616161616,912.278387726905,356,8
"47","1592400",2021,26486.081043956,1162.22262299594,367,8
"48","2331600",1994,14101.0873834499,599.41159726554,647,9
"49","2331600",2001,29323.0576923077,1106.5580323406,360,9
"50","2331600",2004,25469.2563686314,1046.5953521912,366,9
"51","2331600",2007,28908.4092844655,1223.67342388782,358,9
"52","2331600",2010,25152.0397970085,1117.38545858624,366,9
"53","2331600",2013,20055.6926961927,1094.1099808617,354,9
"54","2331600",2016,19257.9292651793,833.276498176518,360,9
"55","2331600",2019,26214.7132034632,946.754461119503,354,9
"56","2331600",2022,32549.6632395382,1236.69433285859,358,9
"57","2391200",1994,24647.05495338,1271.34583391625,454,11
"58","2391200",2000,23424.3850871351,1091.11754336603,347,11
"59","2391200",2003,28688.9094988345,1334.29871480187,356,11
"60","2391200",2006,31769.9645299145,1473.043092146,360,11
"61","2391200",2009,44574.2657134532,1830.75681973223,436,11
"62","2391200",2010,1494.26785714286,161.151465900049,72,11
"63","2391200",2012,29626.3999278499,1240.74208212604,419,11
"64","2391200",2013,877.785714285714,112.148407505958,62,11
"65","2391200",2015,30307.1092032967,1163.62607481815,540,11
"66","2391200",2018,29857.451505439,1167.34647135958,355,11
"67","2391200",2021,50462.0865384615,1678.04032240926,368,11
"68","2620600",1994,50929.7183531746,1998.63642712432,340,10
"69","2620600",1998,47569.2821969697,1466.02120120523,689,10
"70","2620600",2002,60012.7453379953,1673.56686306489,710,10
"71","2620600",2005,48159.6431818182,1316.00984586102,709,10
"72","2620600",2008,48413.4719308469,1458.2560863161,698,10
"73","2620600",2011,45548.1934482185,1307.15302033773,706,10
"74","2620600",2014,44361.1558890184,1405.57590327966,697,10
"75","2620600",2017,30792.9976898102,1045.64256353552,704,10
"76","2620600",2020,48864.4962225275,1299.51619129155,664,10
"77","2620600",2023,21574.5781968032,857.318324206655,274,10
"78","2678100",1994,7036.36355311355,439.398503328222,444,9
"79","2678100",1997,15787.804535742,759.02903427357,348,9
"80","2678100",2004,13718.4226190476,854.37180567674,360,9
"81","2678100",2007,12164.3604895105,644.518737542079,353,9
"82","2678100",2010,10744.1666666667,674.465110952272,366,9
"83","2678100",2013,10086.7526223776,563.907850869195,356,9
"84","2678100",2016,6288.99038461538,520.980727002497,182,9
"85","2678100",2019,11209.4158168221,630.093493274387,347,9
"86","2678100",2022,7792.38827838828,487.441582086707,332,9
"87","2742100",1993,20020.4219675001,815.024843549254,726,9
"88","2742100",1998,20671.8291985792,1026.9892143893,355,9
"89","2742100",2004,19793.4555860806,1109.01172539998,367,9
"90","2742100",2007,19612.6960227273,981.182356423178,353,9
"91","2742100",2010,20198.8650724276,1101.48145861401,354,9
"92","2742100",2013,13860.9294150294,791.986726927904,352,9
"93","2742100",2016,16265.8281746032,899.602195907772,359,9
"94","2742100",2019,13215.4559294872,752.049191431575,351,9
"95","2742100",2022,15320.3261599512,676.707413830599,330,9
"96","2742500",1998,4353.36581196581,395.160690067467,345,3
"97","2742500",2004,2642.71245421245,313.024562386871,367,3
"98","2742500",2007,3680.08863636364,338.211000225264,352,3
"99","2897100",1990,5077.85675990676,352.695164343035,332,9
"100","2897100",1996,4686.65501859252,370.736501278437,457,9
"101","2897100",2003,1634.7637987013,206.605993537905,351,9
"102","2897100",2006,3563.03563311688,330.682075667583,351,9
"103","2897100",2009,4355.23225108225,423.982199564685,348,9
"104","2897100",2012,4341.99935064935,372.209340960449,355,9
"105","2897100",2015,4149.64914252414,362.327721102814,354,9
"106","2897100",2018,3685.55900765901,307.999104270006,344,9
"107","2897100",2021,3017.33115842491,288.460818918252,365,9
"108","2949200",1992,5015.67789155289,277.259789862453,610,10
"109","2949200",1998,7362.45197857698,457.921192787927,357,10
"110","2949200",2002,4305.17880730381,334.17121129883,356,10
"111","2949200",2005,5520.86060606061,350.131308254684,360,10
"112","2949200",2008,5065.31774475524,375.316129137534,354,10
"113","2949200",2011,6177.37492368742,385.862078465917,356,10
"114","2949200",2014,4466.05023448773,310.98762144079,354,10
"115","2949200",2017,4461.10227272727,441.80561929165,356,10
"116","2949200",2020,4444.24843212343,338.825142327687,426,10
"117","2949200",2023,4933.0322954823,367.529944490597,248,10
